words:
DuKo   |dog
DuKu   |dogs
MiRo   |cat
MiRu   |cats
KuDu   |take,took,grab,select,pick
KuDi   |give,store
Mi     |I,me
MiDi   |we,us
Di     |they,them,that,their
DiRe   |there
DiRa   |that(for syntax)
DuRo   |what
DuRu   |whats
MiRi   |hi,hello
DeKo   |do
DeKu   |does
DeKi   |did
DiKu   |hide,fall,down,shortend,minus(-),close,low,less,single
DiRu   |show,rise,up,extended,plus(+),open,high,more,multi
RiDo   |the,an,it,a
RiDu   |it's,as
NuLi   |no,false,bad
NaLi   |yes,true,good
RiKu   |to,in,at
RiSo   |go,start,join
RiSu   |goto,goes,going
RiDi   |got,started,joined
KiNo   |fox
KiNu   |foxes
kaKo   |house
kaKu   |houses
Si     |if
Ri     |else,other
SiSo   |end,stop,leave
SiRu   |male,boy,he
SiRa   |female,girl,she
Shia   |come on
RaSo   |propose
RaSu   |proposes
RaSi   |known,knowned as
RaSe   |now
SuKo   |work,process
SuKu   |working,processing
RiNo   |task
RiNu   |tasks
NuKu   |run
RiRa   |same
RiRi   |similar
RiRo   |diffent,not the same thing
RiRu   |diffents
KuRo   |language
KuRu   |languages
NaRa   |voice
NoKo   |chat
NoKu   |chating
SuRa   |sex
RuSo   |have
RuSu   |have'd
RuSi   |says "fishy" really means "fish"
KuRa   |thank
Ni     |you
NiBa   |your
Nu     |wow,heh
Na     |cool,nice
RiKa   |play
RiKi   |fun
NiKo   |luck
NiKu   |lucky
KuKa   |game
NaNo   |system
NaNu   |systems
NaNi   |technology
NaRo   |bye
NaRu   |bye-bye
RiNa   |varible
NaRa   |math,arithmetic
NaRi   |number
RiNi   |string
NuRi   |and,with
KuNa   |advanced,powerful
NaKo   |electronic,digial
NaKu   |electronics
RaRo   |call
RaRu   |calling
RaRa   |called
NiLa   |mean
NiRo   |program
NiRu   |programing
NiNi   |done
NiNo   |back
NiNu   |backs-up(walking backwards)
NiKi   |main
NiRa   |menu
Ka     |all
Ke     |none
KeKi   |unload
KeKo   |load,read
KeKu   |loading,reading
KaNo   |save,set
KaNe   |saved,setted
KaNu   |saving,setting
KiKe   |planet,world
La     |0
Li     |1
Lo     |2
Lu     |3
LaLa   |4
LiLa   |5
LoLa   |6
LuLa   |7
LaLi   |8
LiLi   |9
LoRi   |network
LuRi   |internet
LuKa   |settings,options
RiLo   |save
RiLu   |saving
RiLi   |summon,spawn
RiLa   |resummon,respawn
NaRa   |sorry
NiRo   |story
NiRu   |stories
NiRa   |town
NiRi   |city
NaRiKo |human
NaRiKu |humans
KaRiNi |earth
KiNe   |Therefore,other words
KaNi   |say,speak
KaNa   |speech,paragraph
KaNiRa |said,spoke
RaKo   |move,switch
RaKu   |moved,switched
RaKe   |moving,switching
LoRa   |north,up
LoRi   |south,down
LiRa   |east,right
LiRi   |west,left
LuRa   |land,area,space
LuKo   |camp
LuKu   |camps
LaRi   |before,early
LaRa   |after,late
RaKaLo |make
RaKaLu |making
RaKaLe |made
RiKiLo |brick
RiKiLu |bricks
RiKiRo |stone
RiKiRu |stones
RoLo   |build
RoLu   |building
RoLi   |buildings
Rulo   |tall
Rulu   |taller
LuRaKa |top
LuRaKi |bottem
RaNaKi |sky
NoRo   |bunny
NoRu   |bunnys
NuKuLo |fluffle
kiKo   |cake
kiKu   |cakes
Naka   |but
BoKu   |flower,floran,nature,tree,plant
KiMo   |Money,Currency
KiBo   |coin
KiBu   |coins
NiMo   |Where
NiMu   |Where’s
BoKi   |wear(put on/have on)
NuRa   |people
BoRo   |see
BoRu   |sees
BoRi   |water
BuRi   |lava
BoNa   |push
BoNo   |love
BoNu   |loves
BoNi   |pull
Bi     |can(not a real can)
Bo     |park
Bu     |parks
Ba     |eat
MiRa   |help,info
BiKi   |food
BoKo   |theme
BoKu   |themes
BoKa   |song
BoNi   |act
GuRo   |warrior
GuRu   |warriors
GuRi   |weapon
GuRa   |attack
GoRo   |friend
GoRu   |friends
GuKaRa |WAR
GaKi   |translate
GaKo   |compare
GaKu   |compares
RiGa   |mean(like i mean something)
RiGi   |like
ReGi   |dislike
RaGo   |pizza
RaGu   |pizza(s)
RiGo   |test
RiGu   |tests,testing
GaLa   |HOT
GaLaKi |COLD
GaRi   |fire
GaRe   |ice
GuRe   |dry
GuRi   |wet
GuRo   |acid
GuRu   |acids
RuGo   |poke,ask
RuGu   |pokes,asks
RuNa   |monster
NeRo   |let
NeRu   |lets
